apple: 苹果
banana: 香蕉
orange: 橙子
grape: 葡萄
lemon: 柠檬
peach: 桃子
pear: 梨
plum: 李子
cherry: 樱桃
strawberry: 草莓
blueberry: 蓝莓
watermelon: 西瓜
melon: 甜瓜
mango: 芒果
pineapple: 菠萝
papaya: 木瓜
kiwi: 猕猴桃
coconut: 椰子
fig: 无花果
date: 枣
apricot: 杏
grapefruit: 葡萄柚
lime: 莱姆
pomegranate: 石榴
raspberry: 覆盆子
blackberry: 黑莓
cranberry: 蔓越莓
lychee: 荔枝
mango: 芒果
guava: 芭乐
dog: 狗
cat: 猫
bird: 鸟
fish: 鱼
rabbit: 兔子
duck: 鸭
chicken: 鸡
pig: 猪
cow: 牛
sheep: 羊
horse: 马
bear: 熊
lion: 狮子
tiger: 老虎
elephant: 大象
monkey: 猴子
fox: 狐狸
wolf: 狼
deer: 鹿
snake: 蛇
frog: 青蛙
turtle: 乌龟
mouse: 鼠
rat: 老鼠
bat: 蝙蝠
camel: 骆驼
dolphin: 海豚
whale: 鲸鱼
shark: 鲨鱼
penguin: 企鹅
eagle: 鹰
owl: 鸮
swan: 天鹅
pigeon: 鸽子
peacock: 孔雀
bee: 蜜蜂
ant: 蚂蚁
spider: 蜘蛛
fly: 苍蝇
mosquito: 蚊子
butterfly: 蝴蝶
dragonfly: 蜻蜓
crab: 螃蟹
shrimp: 虾
lobster: 龙虾
octopus: 章鱼
squid: 乌贼
snail: 蜗牛
panda: 熊猫
koala: 考拉
kangaroo: 袋鼠
zebra: 斑马
giraffe: 长颈鹿
hippo: 河马
rhino: 犀牛
gorilla: 猩猩
lizard: 蜥蜴
crocodile: 鳄鱼
water: 水
milk: 牛奶
tea: 茶
coffee: 咖啡
juice: 果汁
beer: 啤酒
wine: 葡萄酒
bread: 面包
rice: 米饭
noodle: 面条
soup: 汤
salad: 沙拉
meat: 肉
beef: 牛肉
pork: 猪肉
egg: 鸡蛋
cheese: 奶酪
butter: 黄油
sugar: 糖
salt: 盐
pepper: 胡椒
